ElbowLeftX,ElbowLeftY,ElbowLeftZ,HandLeftX,HandLeftY,HandLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HandRightX,HandRightY,HandRightZ,SpineShoulderX,SpineShoulder,SpineShoulderZ,SpineMidX,SpineMidY,SpineMidZ
0.367433131,0.566809893,-0.241106123,0.392258078,0.425385118,-0.594196677,0.61077702,0.606097877,0.066848323,0.600481689,0.746798456,0.011671518,0.503234684,0.437180102,-0.010148242,0.499359377,0.606357917,-0.004961128
0.36663866,0.565996528,-0.241366148,0.39176628,0.422611386,-0.590683818,0.610871255,0.60609448,0.067427441,0.600338995,0.746780753,0.019545523,0.503195852,0.437176362,-0.010819062,0.499340028,0.606432728,-0.005301967
0.366508663,0.564436734,-0.240518168,0.389686227,0.42081508,-0.584810913,0.610882342,0.606077015,0.066735782,0.600115716,0.746773779,0.019512877,0.503233284,0.437145919,-0.010846335,0.499329634,0.60647814,-0.005319322
0.365680337,0.562363565,-0.240586013,0.386051357,0.421870708,-0.594882369,0.611039996,0.606078804,0.053376697,0.599910498,0.746866345,-0.001555835,0.503307268,0.437232196,-0.021194193,0.499331146,0.606744915,-0.010493659
0.363983274,0.559611738,-0.272862941,0.383289874,0.421989143,-0.658336759,0.611047685,0.606076896,0.048904844,0.599753439,0.746868491,-0.014169927,0.503288746,0.437330246,-0.036215927,0.499321058,0.606859371,-0.018004107
0.359083027,0.551621318,-0.264665872,0.3753151,0.409532934,-0.637922883,0.611155152,0.606081247,0.045041274,0.599339366,0.747079134,-0.010795621,0.503251135,0.437343299,-0.036643416,0.499355271,0.607186198,-0.018218397
0.354817241,0.544513583,-0.260691941,0.367013872,0.403089523,-0.628795803,0.611186564,0.606069326,0.041560225,0.599252045,0.747092545,-0.016100837,0.502868086,0.437343717,-0.041521162,0.499170221,0.607468724,-0.020664345
0.348751485,0.535507798,-0.258938134,0.356985539,0.398592621,-0.624353647,0.611202359,0.605894148,0.032057717,0.599251032,0.747092843,-0.025399815,0.502517417,0.437422216,-0.047527699,0.499060445,0.607857823,-0.023678953
0.345766187,0.527019203,-0.252348572,0.349917799,0.390310019,-0.621922731,0.611670196,0.605856061,0.020718474,0.5993132,0.747092009,-0.051221412,0.502182737,0.437435687,-0.05033973,0.498961978,0.608066082,-0.025090047
0.331679463,0.509149253,-0.256991863,0.334701896,0.366020352,-0.636730313,0.611822784,0.605852485,-0.003458129,0.599393368,0.747098804,-0.084929712,0.501884267,0.437522903,-0.063512685,0.498812027,0.608233474,-0.031683049
