HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,hipLeftX,hipLeftY,hipLeftZ,hipRightX,hipRightY,hipRightZ
0.333448738,0.486750633,-0.517658114,0.553418636,0.399785906,-0.44173646,0.377143472,0.410710812,0.050773542,0.52808553,0.399901986,0.027758816,0.399018317,0.754966438,-0.013504094,0.508967161,0.752733111,0.014015089
0.324537694,0.500854433,-0.489900589,0.562717915,0.395313174,-0.43807441,0.377061784,0.410739422,0.052536629,0.52812773,0.399795115,0.02979747,0.399200857,0.755839288,-0.013576403,0.508909523,0.753026664,0.014086507
0.320078522,0.504191756,-0.486970276,0.565949857,0.391296178,-0.420937836,0.376303822,0.411370784,0.053264599,0.527887046,0.399727017,0.029782832,0.399329871,0.755940616,-0.013558897,0.508910596,0.75298363,0.014076459
0.318973571,0.502687395,-0.514555991,0.56786871,0.385343224,-0.442053169,0.375274748,0.411762685,0.043668516,0.52788651,0.400660545,0.02192265,0.399465263,0.757113755,-0.013291043,0.508933425,0.753951907,0.013811055
0.314609587,0.501248837,-0.525209308,0.572228909,0.379146695,-0.441885799,0.375101507,0.411742121,0.038520291,0.528281927,0.401439399,0.020319067,0.399556339,0.758336127,-0.013315995,0.508945465,0.754869342,0.013834132
0.312087476,0.511656404,-0.49620837,0.576889157,0.373979717,-0.440028727,0.37497133,0.411622852,0.038290631,0.528650165,0.402277768,0.021921365,0.399883986,0.760785401,-0.013345348,0.50899595,0.757611632,0.013863077
0.307971358,0.521347523,-0.467225701,0.582694829,0.369370669,-0.434506834,0.374720275,0.411568344,0.042498503,0.529550433,0.402408779,0.023075109,0.399889112,0.762454927,-0.01278652,0.508990347,0.760037959,0.013346849
0.297764122,0.530883968,-0.385255277,0.589848876,0.352532566,-0.421478212,0.374723703,0.411224395,0.056995481,0.529828608,0.402405918,0.023573015,0.400004536,0.762863934,-0.011850377,0.508919597,0.760773659,0.012454839
0.287996083,0.537305593,-0.211739749,0.599920809,0.342968464,-0.424183607,0.374725699,0.411159188,0.055689968,0.53070116,0.402408987,0.02509957,0.399959534,0.763564169,-0.011457568,0.50881952,0.762216866,0.012100522
0.280599266,0.540895224,0.0135845,0.605246902,0.334036916,-0.402608871,0.374784589,0.410965443,0.054790895,0.53172344,0.401951373,0.045115471,0.39990598,0.76364553,-0.01123982,0.508703589,0.762962103,0.011923866
0.270468146,0.546254456,0.029094512,0.610853314,0.326838046,-0.420162678,0.37479046,0.410960764,0.054725729,0.5323627,0.401402533,0.045412973,0.399858177,0.763650954,-0.010428131,0.508630157,0.763599575,0.011161323
0.248082727,0.55608964,0.261149138,0.617922425,0.309900224,-0.446721941,0.374794453,0.411849409,0.066668503,0.532607794,0.399329662,0.035882208,0.399777532,0.763320327,-0.004470581,0.508554041,0.763503253,0.005368676
0.238997623,0.564233363,0.196627289,0.624434233,0.29841283,-0.41936484,0.374788225,0.412888229,0.070414066,0.532835186,0.398243248,0.037714172,0.399521112,0.763301909,-0.003025307,0.508521616,0.763431847,0.003941334
0.231018513,0.580989301,0.087501399,0.63891089,0.283224165,-0.38479656,0.374716848,0.414283276,0.076073378,0.53283155,0.397824168,0.050548576,0.398990452,0.763271332,-0.003310304,0.508292496,0.763386667,0.004192954
0.227108404,0.591063559,0.181767851,0.648004234,0.270160943,-0.321924984,0.374795079,0.415598929,0.072584771,0.532803893,0.397800386,0.050503839,0.398949653,0.763248444,-0.003540008,0.508216321,0.763548791,0.004394649
0.214656264,0.598831356,0.140348852,0.660576701,0.238740876,-0.34756422,0.37478596,0.417548954,0.054022741,0.532554686,0.397824019,0.034788582,0.398958355,0.763367832,-0.00373514,0.5081985,0.764180422,0.00456431
0.207515448,0.606065452,0.090171292,0.670132041,0.229984462,-0.319806606,0.374206543,0.418799996,0.047698051,0.532545567,0.397562087,0.034639709,0.398964971,0.763541102,-0.003914685,0.508150518,0.764313459,0.004705355
0.203980803,0.612331569,0.025326934,0.680166364,0.218493998,-0.28862974,0.37367779,0.420508891,0.024376953,0.532363713,0.397078663,0.011572193,0.399192542,0.763631403,-0.00405804,0.508155227,0.764375567,0.004848581
0.201949239,0.615970731,-0.120313987,0.68829596,0.212864876,-0.269695133,0.372692287,0.42293483,-0.003970211,0.532176256,0.395777762,0.005291179,0.399499625,0.763517737,-0.006088658,0.508158088,0.764149547,0.006790818
0.200594664,0.621816874,-0.131454378,0.701673985,0.203355774,-0.209639937,0.370800018,0.424482912,-0.014732188,0.531755447,0.393798292,0.001498189,0.399651498,0.763551831,-0.008002342,0.508200526,0.763707042,0.008597461
