HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,hipLeftX,hipLeftY,hipLeftZ,hipRightX,hipRightY,hipRightZ
0.354745001,0.714455009,0.095690146,0.581692576,0.440292329,-0.407463461,0.382075787,0.408090472,-0.000986053,0.541768134,0.409747988,0.025384594,0.406185806,0.762269795,-0.012239797,0.513582706,0.760198057,0.012784878
0.354669034,0.714337289,0.133129165,0.581556439,0.439508557,-0.393707067,0.382065713,0.408080399,0.006417851,0.541691899,0.409673214,0.032397546,0.406202614,0.762232542,-0.012181264,0.513581991,0.759910405,0.01273316
0.354638219,0.714331269,0.124136493,0.581384361,0.439053863,-0.379134357,0.382046729,0.407971382,0.010029625,0.541607261,0.409530133,0.038191311,0.406203598,0.761941195,-0.01251852,0.513621271,0.759543002,0.013092617
0.354600072,0.714324713,0.069037795,0.580414653,0.439890385,-0.383639723,0.382034242,0.407941133,0.006594023,0.541540205,0.409427792,0.031500831,0.406117618,0.761925995,-0.012497459,0.513616681,0.75953567,0.013071743
0.354562491,0.714318931,0.003247283,0.577219784,0.439910054,-0.387282968,0.38193363,0.40793401,0.00759199,0.541527271,0.409275115,0.025145877,0.405862004,0.761726737,-0.012457503,0.513541043,0.759527624,0.013021144
0.354552984,0.714046538,-0.036656614,0.554490507,0.43986088,-0.387852132,0.381930411,0.407652557,0.009212024,0.541178524,0.407053769,0.012475989,0.405939907,0.760808766,-0.012125665,0.513521791,0.758626282,0.012664092
0.354608566,0.713863313,-0.022868639,0.544713736,0.440310895,-0.387944311,0.381923914,0.407221258,0.010578946,0.540431201,0.40231216,0.011570154,0.405991465,0.758980215,-0.011890377,0.513522208,0.757098913,0.012431534
0.354655325,0.713819444,-0.021754032,0.526956916,0.439816415,-0.396048337,0.38206476,0.407209605,0.012619133,0.537342191,0.40126738,0.01601148,0.406126499,0.759341896,-0.011927048,0.513521433,0.757876575,0.012465639
0.355102837,0.713645399,-0.084637187,0.498576403,0.435428202,-0.402177483,0.382345468,0.407200515,0.039119691,0.537165105,0.400574982,0.017265294,0.406154543,0.760083556,-0.010500142,0.513520896,0.75950104,0.011106597
0.355545491,0.71361196,-0.036579181,0.482827425,0.430901438,-0.40938893,0.382737845,0.407230496,0.040972587,0.537083864,0.398875982,0.011216586,0.406157583,0.761247873,-0.008758518,0.513527572,0.761744082,0.009376543
0.35581246,0.713656783,0.095861547,0.474318326,0.430734962,-0.444164276,0.383045971,0.407278985,0.05649082,0.536795616,0.395024568,0.001053828,0.406130731,0.761676192,-0.004892682,0.513512194,0.762496173,0.005490311
0.355953157,0.713655531,0.100072861,0.465794176,0.429968715,-0.477803886,0.383208871,0.407913357,0.067051753,0.536765039,0.39050132,-0.00306975,0.406198084,0.761731923,-0.00235307,0.513590217,0.762456059,0.002927859
0.356085867,0.714179695,0.082514197,0.442741811,0.423591226,-0.527759671,0.382987171,0.409506708,0.069903843,0.534953415,0.389286548,-0.00488597,0.406118542,0.76231575,-0.000829714,0.513545573,0.762825429,0.001374953
0.356066883,0.714197278,0.078937933,0.427837789,0.414204895,-0.561418414,0.382663071,0.409990519,0.068973698,0.533681273,0.389851749,-0.00989219,0.406086922,0.764451981,0.000275436,0.51322633,0.764293492,0.000200107
0.355771005,0.71426481,0.016423145,0.405366957,0.406057447,-0.625081658,0.381982177,0.412183464,0.070550665,0.533703446,0.390245855,-0.025440186,0.406175137,0.76671356,0.001810174,0.513153732,0.76601541,-0.001413609
0.355736792,0.714095831,-0.027207086,0.392659068,0.404230058,-0.621477246,0.380501181,0.414571464,0.083057627,0.533644199,0.390558243,-0.028831149,0.406341016,0.767927349,0.005271624,0.51332283,0.766922295,-0.004953513
0.355980039,0.713796496,-0.136385471,0.369522184,0.402063012,-0.614425302,0.379946291,0.422351748,0.081316784,0.533331513,0.39070949,-0.066791847,0.406350553,0.770796478,0.011217551,0.513334155,0.769087195,-0.010999111
0.35597989,0.713481724,-0.214390561,0.339515299,0.401721835,-0.582681239,0.378982306,0.434176534,0.068514653,0.532726526,0.390781969,-0.10131041,0.406711578,0.772601724,0.015749184,0.51382643,0.769759059,-0.015555196
0.355861455,0.711393416,-0.213367984,0.329888046,0.402380854,-0.540731966,0.378357589,0.441206574,0.067510411,0.532230198,0.389847845,-0.100703642,0.406721026,0.773976326,0.016627494,0.513885617,0.770688176,-0.016454989
0.355648011,0.708032846,-0.131943792,0.319088459,0.405771375,-0.503766418,0.378540188,0.440440327,0.075622179,0.531656981,0.385071874,-0.108292185,0.407872856,0.773742735,0.020590298,0.514350772,0.770564497,-0.02054772
