HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,hipLeftX,hipLeftY,hipLeftZ,hipRightX,hipRightY,hipRightZ
0.350102931,0.703662813,0.00764366,0.57842654,0.419647217,-0.334538639,0.381140262,0.404802829,0.003881641,0.537877679,0.404257596,0.02065072,0.40424794,0.757326722,-0.013439355,0.511773348,0.755933464,0.014000937
0.350070059,0.703659654,0.019798201,0.578637302,0.419817358,-0.348258168,0.381168246,0.4048177,-0.006270464,0.538379729,0.40465337,0.020669227,0.40424186,0.757399499,-0.013693869,0.511766374,0.756197155,0.014235388
0.349891722,0.703647614,-0.007629866,0.579033554,0.420861512,-0.359990299,0.381197214,0.404937565,-0.005072087,0.538592339,0.404824942,0.021831311,0.404263407,0.757378221,-0.014243635,0.511760771,0.756243587,0.014753674
0.349694341,0.703529894,-0.009111805,0.579160631,0.423900247,-0.354620993,0.381373346,0.404759198,-0.00617722,0.539418519,0.404798776,0.022775432,0.404001623,0.757170796,-0.014363672,0.511507869,0.756432116,0.014857139
0.349592626,0.703351438,-0.00152212,0.578818798,0.425817311,-0.380193412,0.38168022,0.404621035,-0.004980936,0.540157378,0.404641449,0.016253883,0.40398106,0.757080495,-0.014122972,0.511486411,0.756468177,0.014601314
0.349606693,0.703345418,0.008101584,0.576579154,0.437243521,-0.370324135,0.382122666,0.404657632,-0.013125002,0.540871978,0.405329138,0.018007392,0.404113591,0.757440686,-0.014535327,0.511435032,0.757162869,0.014999767
0.349636972,0.703338683,-0.010107033,0.572044909,0.446972668,-0.362515032,0.38319847,0.404577851,-0.011925198,0.54086417,0.405348808,0.019756978,0.404836982,0.757312059,-0.014778046,0.511428177,0.756973624,0.01522523
0.349657983,0.703330755,-0.005867586,0.57094723,0.455697924,-0.374602199,0.383781403,0.404310614,-0.024574246,0.540742278,0.405581087,0.020392565,0.405128717,0.757767916,-0.015409268,0.511493027,0.757306397,0.015862022
0.349757284,0.703409731,-0.014284668,0.57098037,0.480122954,-0.440570295,0.383769512,0.404172629,-0.025479704,0.54071629,0.404747903,0.008031724,0.405701399,0.757800519,-0.014063358,0.512026727,0.757186115,0.014556123
0.34990412,0.703404188,-0.010091917,0.570693076,0.4942514,-0.43021965,0.383810163,0.404070407,-0.024757158,0.540155292,0.403845251,0.004554388,0.405750334,0.758704007,-0.01315706,0.512015581,0.757499039,0.013670568
0.349900484,0.703362346,-0.023830451,0.569783568,0.510070145,-0.427379429,0.383805692,0.404083252,-0.012970716,0.540148139,0.402933329,0.005064914,0.405750185,0.760077119,-0.012666804,0.512160659,0.758779764,0.013239583
0.349933237,0.703360736,-0.069524661,0.56493789,0.543275297,-0.506311297,0.383865058,0.404096037,-0.041009903,0.540246904,0.401523322,-0.056498647,0.405604988,0.759754002,-0.00871939,0.512151361,0.758491874,0.009369072
0.349937856,0.702958524,-0.08362481,0.56430769,0.562040031,-0.495441765,0.384122759,0.404085964,-0.036416426,0.541638076,0.40153569,-0.06022913,0.405601591,0.759711564,-0.007407308,0.512240767,0.75836271,0.008150303
0.34995085,0.702567816,-0.096878119,0.565544307,0.592943907,-0.414518028,0.384254396,0.404036403,-0.049209274,0.543737829,0.403719962,-0.053502005,0.405385166,0.759292066,-0.008499866,0.512237072,0.757940292,0.009251611
0.350095063,0.702465236,-0.079201624,0.567485452,0.611029923,-0.232016161,0.384423018,0.404028594,-0.031907242,0.545167804,0.404848903,-0.049272787,0.404998958,0.759092748,-0.010391493,0.512241781,0.757865727,0.011052836
0.350250959,0.702466309,-0.0330767,0.569693029,0.634673834,-0.101321623,0.384736121,0.404094756,-0.008649875,0.545624733,0.405677348,-0.037741434,0.404947907,0.759076893,-0.010564202,0.512672484,0.757448137,0.011205423
0.350327998,0.702462256,-0.02949198,0.5704422,0.650328636,-0.081782073,0.384920508,0.404268771,-0.01006387,0.546590924,0.407865942,-0.031427037,0.404814899,0.759144843,-0.010857515,0.512705445,0.757371485,0.011471993
0.350417763,0.702630281,-0.005694043,0.573123455,0.667967439,-0.045110539,0.385114282,0.404552609,-0.009665341,0.547252059,0.410027057,-0.031225627,0.404810667,0.759429216,-0.010941334,0.513098598,0.757435501,0.011543378
0.350502729,0.702607334,0.00610111,0.575687468,0.676702559,-0.009909452,0.385275751,0.404581338,-0.004391117,0.547305822,0.411827058,-0.002443273,0.40493995,0.759757578,-0.012898004,0.513591886,0.757811308,0.013440646
0.350685894,0.703131258,-0.029399598,0.57605207,0.690861166,0.043140907,0.385394454,0.404556543,-0.001967846,0.546935439,0.411815017,0.044660501,0.405788749,0.761390567,-0.018613335,0.514993072,0.759255648,0.019119503
