HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,hipLeftX,hipLeftY,hipLeftZ,hipRightX,hipRightY,hipRightZ
0.35305813,0.713326871,0.060319316,0.588266075,0.40894407,-0.309544921,0.376930892,0.410562307,-0.002725061,0.534340739,0.405239016,0.084030047,0.403447539,0.759778142,-0.019248616,0.510582089,0.759108126,0.019856926
0.352929056,0.713027537,0.081412993,0.597725749,0.408387631,-0.226338983,0.376930445,0.410585254,0.028858628,0.534494638,0.404521435,0.082362324,0.403450489,0.759476006,-0.018610237,0.510714889,0.758817434,0.019234296
0.3528018,0.712805927,0.127653897,0.603034616,0.407681555,-0.201797202,0.376880497,0.410627723,0.053005718,0.534466386,0.404379338,0.093345664,0.40345341,0.759257019,-0.018133838,0.510862052,0.758099675,0.018798621
0.35272342,0.712738216,0.10869585,0.60601902,0.408207327,-0.212224364,0.376885176,0.410632759,0.051250685,0.534409404,0.404252112,0.096604034,0.403492451,0.759102046,-0.018175459,0.510890126,0.758032262,0.018845644
0.352432311,0.711949885,0.109576628,0.607227564,0.409455329,-0.206685573,0.376849353,0.410619915,0.051653396,0.533911109,0.403305382,0.099541321,0.403555781,0.758646846,-0.018251587,0.510929704,0.757032454,0.018932536
0.352338046,0.711861551,0.097725779,0.608236194,0.409723133,-0.204537481,0.376811087,0.410614431,0.050671399,0.533650696,0.402404219,0.097699203,0.403559357,0.758301735,-0.01825932,0.510935903,0.756271064,0.018941211
0.352295816,0.711781263,0.07167393,0.610341668,0.408210635,-0.20301497,0.376809776,0.410521567,0.050158046,0.533637881,0.402122349,0.098282866,0.403571606,0.758137882,-0.018295381,0.51094377,0.755858183,0.018979203
0.352221906,0.71174562,0.071245611,0.612700522,0.407817841,-0.176552653,0.376790196,0.410524666,0.049904305,0.533635855,0.401930124,0.103786789,0.403575182,0.7577824,-0.018398236,0.510949373,0.755650163,0.019085445
0.352195561,0.711777151,-0.003550722,0.621926188,0.408499271,-0.182593167,0.376710713,0.410472959,0.041780721,0.533609271,0.401667029,0.102770962,0.403564751,0.757398665,-0.01882953,0.510861516,0.754876792,0.01951782
0.352093935,0.711780965,-0.063238636,0.632026315,0.410431981,-0.196057305,0.376607299,0.410369605,0.031194281,0.533702374,0.401780307,0.09198036,0.403437316,0.757407606,-0.018742656,0.510552883,0.754868388,0.019446671
0.351964533,0.711842895,-0.071900234,0.641382098,0.41350916,-0.202248499,0.376372457,0.410380453,0.025327077,0.534157574,0.402327865,0.071698844,0.403223038,0.757850528,-0.018392958,0.510386765,0.755115211,0.019104432
0.351724744,0.711666524,0.020293418,0.651236176,0.413448483,-0.205804974,0.376256645,0.410348624,0.026384613,0.534674168,0.402984411,0.071151808,0.403205931,0.758672357,-0.016760044,0.510388136,0.756200492,0.017522408
0.351361454,0.711607695,0.049915053,0.675072074,0.413938701,-0.17599301,0.376209289,0.410308152,-0.006054474,0.535202146,0.404166579,0.062075097,0.403015524,0.759727418,-0.016679775,0.51037693,0.75751698,0.017458728
0.351131588,0.71126461,0.048739657,0.687163591,0.413971126,-0.166338056,0.376181096,0.410305798,-0.010489492,0.535335958,0.404951394,0.053781115,0.402982086,0.760847807,-0.016373331,0.510379612,0.758371472,0.017182108
0.350699663,0.710463405,0.016664263,0.698087811,0.422886103,-0.190722704,0.37617299,0.410055727,-0.013813312,0.53613323,0.40583384,0.043170743,0.402832568,0.761253715,-0.0159912,0.510316372,0.75852555,0.016828408
0.350536704,0.710417926,0.01686272,0.707974911,0.424440593,-0.197414488,0.37616843,0.409860551,-0.025709476,0.536773801,0.406368613,0.030084481,0.402744591,0.761503577,-0.015499336,0.510317028,0.758542418,0.016356921
0.350253403,0.710272193,-0.074590057,0.718285203,0.424345136,-0.201058865,0.376146048,0.409856796,-0.044553217,0.537378311,0.406776935,0.019114699,0.402583182,0.762430489,-0.015514405,0.510306001,0.759028971,0.01638967
0.349862188,0.709799647,0.006062299,0.735198975,0.424610078,-0.081706986,0.376061022,0.409852803,-0.07209526,0.537908256,0.406782985,0.006957268,0.401972622,0.762822509,-0.015782095,0.510109842,0.759499907,0.016691737
0.349595726,0.709724009,0.029135257,0.743335247,0.42656979,-0.05856064,0.376028448,0.409785807,-0.086050481,0.538389564,0.406417876,-0.00359043,0.40149051,0.762809694,-0.01578955,0.509933114,0.759593785,0.016698113
0.349178255,0.709599376,0.009809535,0.758791327,0.427075386,-0.024255477,0.376007974,0.409777284,-0.118783131,0.538834453,0.404570103,-0.012703642,0.40123263,0.762735248,-0.016677804,0.509870589,0.7595855,0.017577548
