HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,hipLeftX,hipLeftY,hipLeftZ,hipRightX,hipRightY,hipRightZ
0.372772813,0.463924289,-0.656200528,0.564115644,0.714197993,0.05017807,0.388513148,0.405626923,-0.041354537,0.546158314,0.408203512,0.024562504,0.407570511,0.761187792,-0.033287015,0.518425167,0.762347579,0.033773042
0.37276122,0.463020593,-0.654310107,0.563954711,0.714065969,0.048408322,0.388514549,0.405629724,-0.041237198,0.546152949,0.408188671,0.022836151,0.407573879,0.76118505,-0.033143993,0.518419862,0.762266994,0.033634152
0.366173565,0.436526358,-0.653757334,0.563916862,0.71375829,0.032708682,0.388329923,0.405823559,-0.040993944,0.546094537,0.40807882,0.010602681,0.407571495,0.761360347,-0.03138002,0.518384397,0.762237489,0.031845026
0.360138476,0.423974335,-0.657967389,0.563907027,0.713717163,0.024900109,0.387256444,0.405860633,-0.040932517,0.546088338,0.408039212,0.009069178,0.407510936,0.762087524,-0.030475795,0.518379807,0.76248306,0.030933678
0.34916836,0.428116262,-0.723945737,0.563823819,0.713716209,0.012318642,0.384595037,0.404480934,-0.075779393,0.546114087,0.408006579,-0.023330208,0.40746063,0.762116492,-0.030235607,0.518382192,0.762429178,0.030675283
0.3345806,0.416771561,-0.722163558,0.563893199,0.713817179,0.011286631,0.382921129,0.404715598,-0.071275756,0.546141624,0.408082128,-0.025970686,0.407463133,0.763299525,-0.028293129,0.518282235,0.763190389,0.028702307
0.324509263,0.40849489,-0.702399552,0.56440419,0.713772416,0.014937999,0.38250798,0.405222714,-0.067406036,0.546169281,0.408180535,-0.025029715,0.407714784,0.763869345,-0.027566507,0.518314004,0.763663113,0.027945736
0.308895141,0.378822118,-0.69694984,0.564503968,0.713816941,0.017858999,0.38242802,0.405341268,-0.065120012,0.546176672,0.408227384,-0.0206188,0.407708108,0.765138805,-0.025608709,0.51843065,0.764674246,0.025961801
0.29998821,0.356223047,-0.686425567,0.564778626,0.713817716,0.02012576,0.382356733,0.405636013,-0.062472057,0.546175838,0.408358037,-0.023655163,0.407665342,0.766227424,-0.024698254,0.518431246,0.765697062,0.02501736
0.287639856,0.317047954,-0.714645267,0.564840674,0.713861048,0.006445239,0.382388741,0.405619889,-0.063440308,0.546160817,0.408590674,-0.03918926,0.407643557,0.76725328,-0.022512168,0.518343031,0.766472042,0.022774193
0.277507484,0.299303412,-0.727468014,0.564956963,0.713826239,-0.042884972,0.382348657,0.405470043,-0.072447963,0.54615134,0.409182876,-0.052784611,0.407601744,0.768798411,-0.020470666,0.518341839,0.766812682,0.020725042
0.267781377,0.28792569,-0.715034127,0.564994395,0.713988483,-0.096444897,0.382373035,0.404247105,-0.074327059,0.546146095,0.409380585,-0.07862889,0.407615811,0.769466579,-0.014039692,0.51826036,0.766885221,0.014300654
0.241898581,0.257442415,-0.711736202,0.565792322,0.713364065,-0.145754114,0.382387757,0.402102739,-0.087815136,0.546138346,0.409553915,-0.075467907,0.407735497,0.769465208,-0.015036115,0.518263102,0.766393125,0.015315081
0.228792146,0.243792742,-0.709051132,0.566720486,0.71269393,-0.155299395,0.381714255,0.398719877,-0.094797626,0.546031415,0.409937441,-0.070200235,0.407894045,0.769436002,-0.015418443,0.518262982,0.76576364,0.015714051
0.208727643,0.229392156,-0.665791035,0.566829085,0.711313307,-0.124108158,0.381340057,0.393050134,-0.094055451,0.545823336,0.409992903,-0.067613043,0.407892555,0.766688943,-0.015741682,0.517998397,0.763810933,0.016059157
0.198814392,0.224661335,-0.48878178,0.566862345,0.710691154,-0.148658827,0.381003797,0.388152331,-0.08212804,0.545820177,0.411164582,-0.06447047,0.407893807,0.765890241,-0.015473811,0.517685831,0.763382852,0.015774846
0.18833448,0.222928211,-0.139344379,0.567088544,0.710212708,-0.179779351,0.380786777,0.380368114,-0.043241873,0.545495868,0.411863446,-0.070514068,0.407900393,0.764710486,-0.008788983,0.517607808,0.761386871,0.009090515
0.185699999,0.219812736,-0.117517553,0.567148983,0.710196495,-0.168327957,0.380427301,0.374733627,-0.044244312,0.545125842,0.411122054,-0.078694627,0.407870114,0.763265491,-0.005977948,0.517175257,0.758988023,0.006312918
0.186063647,0.219416767,-0.147672728,0.567352951,0.710203767,-0.216102719,0.379898489,0.372705668,-0.044585813,0.545131922,0.410949826,-0.091438487,0.407837301,0.763005376,-0.004044807,0.516607225,0.758592069,0.004384991
0.182422176,0.216381073,-0.180056721,0.566387892,0.710093319,-0.172615111,0.378625602,0.37173599,-0.047701627,0.545090258,0.410775393,-0.085857496,0.407346547,0.76237911,-0.005013782,0.515105188,0.758354902,0.005352443
