HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,hipLeftX,hipLeftY,hipLeftZ,hipRightX,hipRightY,hipRightZ
0.347661912,0.421834856,-0.674795032,0.556035042,0.713808656,0.021344583,0.377735496,0.399996668,-0.06717737,0.537430584,0.409412175,-0.021438032,0.398257166,0.755755186,-0.024774414,0.511222124,0.754803598,0.025151372
0.343154073,0.422532111,-0.654667795,0.556257129,0.713504016,0.014809211,0.377275288,0.400694638,-0.058940895,0.537593424,0.409579605,-0.026399005,0.39840588,0.755747855,-0.02297806,0.511270761,0.754750609,0.023310354
0.338830858,0.425064594,-0.684839845,0.556357622,0.713945031,-0.006513285,0.376608491,0.401934415,-0.061174922,0.537959397,0.409761071,-0.037945069,0.398481101,0.755956948,-0.022588316,0.511298656,0.754819632,0.022919502
0.322759569,0.438844115,-0.686695516,0.556353807,0.713839173,-0.001361612,0.375597715,0.402412474,-0.060081076,0.538079381,0.410135627,-0.037513927,0.398493469,0.756137133,-0.021435708,0.510947943,0.754792333,0.021772657
0.308871359,0.451756418,-0.687382102,0.556422651,0.713737488,-0.005060992,0.375696003,0.402748287,-0.057965554,0.538449705,0.410418391,-0.044476908,0.398801178,0.756285548,-0.020016111,0.510943294,0.754791677,0.020339005
0.283443719,0.464079767,-0.748058796,0.556427121,0.713755369,-0.012208251,0.376381516,0.402738839,-0.066871703,0.538749754,0.411090851,-0.052952729,0.39947921,0.758561015,-0.020040832,0.510943949,0.755980074,0.020361895
0.269374967,0.476345241,-0.764845192,0.556372762,0.713666499,-0.01916093,0.377222955,0.402719468,-0.078658536,0.539016068,0.411321193,-0.070643663,0.399631441,0.759006858,-0.019153478,0.510813415,0.756193817,0.019454587
0.254240453,0.478539765,-0.747184098,0.556418955,0.713460803,-0.016224166,0.377914399,0.402713656,-0.080614373,0.539225101,0.411848187,-0.070061982,0.399769038,0.759385765,-0.019206805,0.510740161,0.756697416,0.019507354
0.221776456,0.496812373,-0.526649654,0.556383193,0.713478327,-0.062435128,0.378030956,0.402904093,-0.059812903,0.539593399,0.412817955,-0.064802125,0.399837583,0.759844959,-0.018568736,0.510683894,0.757124603,0.018826481
0.206361935,0.510349274,-0.295903027,0.556203485,0.713466644,-0.107139587,0.377960861,0.403589189,-0.046058293,0.539595962,0.413431555,-0.068648472,0.399956316,0.759915709,-0.015470339,0.510516644,0.757443488,0.015730213
0.198569328,0.515253127,-0.127698809,0.556097448,0.713192582,-0.133841306,0.37795189,0.404748112,-0.031868909,0.539520621,0.414052486,-0.076210603,0.400073618,0.760539293,-0.013226679,0.510294557,0.758418858,0.013526986
0.193133727,0.522497833,-0.086039305,0.556034148,0.713147879,-0.151591942,0.377828687,0.406131953,-0.030027941,0.539348006,0.414662689,-0.080091648,0.400210381,0.762108862,-0.012073527,0.50998199,0.760798097,0.012407421
0.181726664,0.531836152,-0.08623372,0.555685163,0.713173091,-0.221378013,0.376702011,0.407195926,-0.039093755,0.538850009,0.41465953,-0.112624452,0.400215685,0.762798011,-0.011228696,0.508821428,0.762001157,0.0115839
0.172362387,0.54442662,-0.095084228,0.555429101,0.713431716,-0.24455595,0.374405473,0.407637656,-0.053835522,0.537956834,0.414472252,-0.126757294,0.400223434,0.763702154,-0.010380645,0.508175671,0.762958109,0.010763211
0.16865246,0.550713599,-0.088229619,0.555149794,0.713543475,-0.255786121,0.372635216,0.407841593,-0.058794789,0.537167132,0.414345384,-0.134561032,0.400247008,0.764350533,-0.009146756,0.507546782,0.763452709,0.009542344
0.166791663,0.55515486,-0.111675635,0.554741502,0.71392262,-0.265140712,0.370036423,0.4079023,-0.075332806,0.53645438,0.414292306,-0.145524204,0.400251091,0.764959991,-0.008205792,0.506842971,0.764093161,0.008611826
0.165371105,0.553943276,-0.087628089,0.554176927,0.714044034,-0.272954822,0.36830005,0.408053935,-0.074345142,0.535114348,0.413986087,-0.148249477,0.4001773,0.765450776,-0.005238056,0.506252468,0.764472961,0.005637801
0.164910302,0.553166687,-0.10859134,0.554099202,0.714045763,-0.263099492,0.367129058,0.408247501,-0.077156886,0.5344221,0.413981944,-0.145010859,0.400174618,0.765632927,-0.00555668,0.505983472,0.764515698,0.00595642
0.164854303,0.550655723,-0.137719959,0.554039121,0.712925851,-0.250600547,0.366399527,0.408283144,-0.082339212,0.533247709,0.413529575,-0.142793491,0.400176704,0.765177488,-0.00531276,0.505818725,0.763347268,0.005711868
0.165052131,0.550257921,-0.127767056,0.553997159,0.71204114,-0.234604865,0.365751982,0.408315539,-0.079612687,0.532431006,0.412916392,-0.137363613,0.400177419,0.7651667,-0.005513649,0.505569696,0.763122022,0.005907033
