HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,hipLeftX,hipLeftY,hipLeftZ,hipRightX,hipRightY,hipRightZ
0.426730245,0.509069383,-0.414141506,0.574353755,0.511405826,-0.244883865,0.413235247,0.408693254,0.058364548,0.565267682,0.411421329,0.140198857,0.440393299,0.753305256,-0.021128228,0.547644138,0.753449082,0.022056799
0.426720619,0.508749545,-0.408459902,0.574255526,0.511034667,-0.229781181,0.413312525,0.408832014,0.058144856,0.565243602,0.411417782,0.141432747,0.440403372,0.753084838,-0.021547843,0.547654629,0.753136277,0.022466335
0.426718324,0.508605361,-0.409747452,0.574067116,0.51069963,-0.231909469,0.413310707,0.408977777,0.058172543,0.565117478,0.411423862,0.141420349,0.440392822,0.752951503,-0.021629665,0.547639251,0.752970815,0.02254631
0.426759064,0.507686317,-0.412230015,0.574054241,0.510255098,-0.235036924,0.413340658,0.409408987,0.057627864,0.564983964,0.411473304,0.138732582,0.440440714,0.753033698,-0.021271003,0.547626913,0.753128886,0.022160621
0.42499876,0.502379537,-0.419966519,0.576758504,0.509865522,-0.236932188,0.413377106,0.409795642,0.057548068,0.564922988,0.411528379,0.136693269,0.440452814,0.753032565,-0.020302074,0.547587216,0.753165603,0.021169689
0.413716644,0.498818547,-0.434463173,0.58400327,0.504061878,-0.290711403,0.413550287,0.41059801,0.058852769,0.564894438,0.411595255,0.132273778,0.440460056,0.75347966,-0.018956581,0.547433615,0.753379881,0.019758556
0.393295944,0.497462779,-0.613425791,0.602074981,0.500487208,-0.465734571,0.415032715,0.413709849,0.009388891,0.564937532,0.412299484,0.056335341,0.440970957,0.755319238,-0.014901027,0.54738462,0.753439248,0.015573849
0.361464262,0.483643204,-0.618358254,0.622533381,0.467210829,-0.600960374,0.415639162,0.415142477,0.01011489,0.565847337,0.412763387,0.021363836,0.441066116,0.756422698,-0.011837631,0.547398508,0.75365597,0.012487112
0.342448175,0.478042632,-0.547935903,0.64086163,0.458271146,-0.505082726,0.415638685,0.415495276,0.03902825,0.565933228,0.412832826,0.053061835,0.441240013,0.757209957,-0.011557598,0.547303796,0.753428638,0.012213196
0.318177849,0.472834378,-0.46471411,0.668527305,0.453796566,-0.438040644,0.415326595,0.415544093,0.078819752,0.566194832,0.41286546,0.067693397,0.441209555,0.758933365,-0.009531549,0.547142863,0.753527999,0.010182806
0.306824952,0.47435537,-0.447293818,0.691100657,0.439050555,-0.415951401,0.414330631,0.415629297,0.076954849,0.567331374,0.413094342,0.061394196,0.441200972,0.760372758,-0.007339643,0.547139764,0.754190862,0.008019502
0.285855621,0.464528501,-0.380623519,0.706747532,0.438975781,-0.376126468,0.413622946,0.415935934,0.079645731,0.567877293,0.413236439,0.059102278,0.441210896,0.760746598,-0.00717306,0.547142327,0.754253387,0.007874617
0.270311922,0.457609057,-0.35634774,0.717997015,0.434391528,-0.273950398,0.412055552,0.415969044,0.055599529,0.568079233,0.414420873,0.037574191,0.441258848,0.761301994,-0.007542038,0.547172487,0.754670739,0.008251515
0.240990311,0.456854314,-0.393516272,0.731722474,0.433307171,-0.266976297,0.409419358,0.416324556,-0.003504402,0.568087518,0.415003896,6.75887E-05,0.441767633,0.762218773,-0.007815469,0.547274649,0.755249679,0.008528278
0.231102392,0.455103308,-0.452842772,0.741810679,0.428470492,-0.246550083,0.406680644,0.416789681,-0.040123925,0.568304062,0.415378779,-0.005018272,0.441821873,0.762854457,-0.011073907,0.54727596,0.755773187,0.011817389
0.209822819,0.452123344,-0.387120962,0.75532043,0.425214797,-0.250828534,0.40478906,0.416470706,-0.075041197,0.568311512,0.415414214,-0.034461606,0.441861629,0.763005316,-0.011355886,0.547270417,0.755768478,0.012082586
0.202189878,0.448340803,-0.375452936,0.760536611,0.423357964,-0.26731509,0.403880984,0.415689528,-0.100151978,0.568443775,0.415306687,-0.062452596,0.441882759,0.762968123,-0.011366012,0.547245085,0.75553143,0.012092046
0.198670879,0.449815899,-0.353465587,0.765283763,0.424853623,-0.276436478,0.403149545,0.414303511,-0.103623964,0.568521559,0.415244162,-0.074120343,0.441894054,0.762986302,-0.010846106,0.547199249,0.754984319,0.011581196
0.196274549,0.451275945,-0.342067063,0.767639935,0.425162196,-0.277589798,0.402911186,0.413030148,-0.103501856,0.56863749,0.415038854,-0.077551343,0.441930443,0.763072371,-0.01037156,0.547210693,0.754635155,0.011134462
0.196116656,0.452244133,-0.325785935,0.768167615,0.425584614,-0.278805584,0.402842104,0.412109822,-0.105922319,0.568634689,0.414720476,-0.079152487,0.441980511,0.763208032,-0.010231446,0.547202706,0.754205883,0.010994503
