HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,hipLeftX,hipLeftY,hipLeftZ,hipRightX,hipRightY,hipRightZ
0.23711507,0.265572786,-0.571971357,0.669234276,0.672585607,0.007561474,0.364599228,0.403375685,-0.028241877,0.534073472,0.413072467,-0.007663941,0.400645316,0.776232064,-0.01698512,0.507737279,0.770813048,0.017315622
0.237386271,0.266099066,-0.59200865,0.669097424,0.67259717,0.019184304,0.364588916,0.403093338,-0.031893514,0.53407681,0.41307953,-0.006349749,0.400636017,0.776213765,-0.017102621,0.507729053,0.770803213,0.017438989
0.237550333,0.266433597,-0.600939989,0.669467926,0.67399466,-0.017071448,0.364515215,0.402728647,-0.036245562,0.534129441,0.41317454,-0.011210409,0.400571972,0.776224911,-0.017078387,0.507697701,0.770806491,0.017417463
0.237804338,0.267042965,-0.595607638,0.669424891,0.673110127,-0.02399702,0.364516735,0.402097374,-0.034999065,0.534184694,0.413348079,-0.011413106,0.400524229,0.776147127,-0.016925404,0.507677197,0.770787776,0.017257646
0.239585906,0.267358243,-0.581870556,0.668271661,0.672804832,-0.013664995,0.364497244,0.40137583,-0.032807134,0.534163594,0.413388222,-0.006759695,0.400521666,0.775536239,-0.016977623,0.507668912,0.769746184,0.017315129
0.244433805,0.268285722,-0.565650821,0.6651178,0.670295596,0.002342729,0.364472121,0.400273412,-0.027215827,0.534511685,0.413398921,-0.001954993,0.400298357,0.775453925,-0.017040078,0.507549644,0.769742966,0.017389286
0.249774531,0.271408379,-0.578394294,0.659725189,0.662167668,0.032951858,0.364505589,0.399624377,-0.019647386,0.534520388,0.413214475,0.009783215,0.40029344,0.77504164,-0.017238535,0.507530272,0.76947993,0.017623147
0.254936993,0.27883634,-0.577764571,0.655041814,0.656681657,0.064417556,0.365021229,0.399514616,-0.007585704,0.534528315,0.412774652,0.027738173,0.400258213,0.774688482,-0.018052313,0.507480681,0.769402266,0.01844571
0.267828256,0.290892094,-0.574692369,0.640458226,0.641795039,0.005584977,0.367102742,0.399917424,0.012312205,0.534592986,0.412361711,0.022574443,0.400255769,0.774469197,-0.017636685,0.50740701,0.769512534,0.018036813
0.274560481,0.304871708,-0.555253804,0.630477548,0.630930364,-0.126758456,0.368862361,0.400766969,0.039397608,0.534619868,0.412187189,0.017153105,0.400271326,0.774460673,-0.014838098,0.507457137,0.769730806,0.015319643
0.283602953,0.324711353,-0.521916151,0.608032823,0.600514114,-0.410475343,0.371277869,0.402260333,0.0479488,0.534671247,0.412206501,-0.000787641,0.400269419,0.773596644,-0.006749102,0.507843316,0.769584477,0.007315371
0.290076941,0.347483456,-0.534653783,0.593301177,0.575415969,-0.486343145,0.372365564,0.403529733,0.05297368,0.53469789,0.412199616,-0.001393642,0.400314569,0.772492051,-0.0018289,0.508197665,0.76949954,0.002546462
0.302309096,0.366708696,-0.554856896,0.579325557,0.539389431,-0.400299609,0.373261094,0.40423885,0.048165105,0.534705043,0.411207557,0.001981357,0.400318146,0.769398451,-0.002694005,0.508706033,0.76865375,0.003349083
0.335910857,0.399352163,-0.485072464,0.556008101,0.53443265,-0.363632351,0.373125464,0.40372923,0.05587982,0.531986356,0.409339815,0.061137266,0.400117069,0.765086234,-0.007257041,0.508719563,0.763703167,0.007997252
0.328730047,0.420383811,-0.474289119,0.546046317,0.535378635,-0.310609758,0.372962564,0.402275145,0.067701295,0.529578745,0.409231961,0.073839366,0.400002718,0.763815224,-0.011059887,0.508746922,0.761268795,0.011888723
0.359803677,0.458403736,-0.471343994,0.531565309,0.524097025,-0.286550909,0.373521,0.404610753,0.062677339,0.529126406,0.407533199,0.087635398,0.398970157,0.763879716,-0.017575469,0.508586586,0.761395395,0.018591726
0.379542768,0.468662143,-0.467880011,0.518590629,0.511367559,-0.277920425,0.373777807,0.408005744,0.060286187,0.528422594,0.404567242,0.10146217,0.396938175,0.762648702,-0.019768408,0.508223414,0.761201262,0.020881208
0.390754282,0.471918195,-0.469042063,0.512777388,0.507196188,-0.300470173,0.375183523,0.409734845,0.054879557,0.528560758,0.40262863,0.090006053,0.396136045,0.762282252,-0.020652352,0.50822562,0.761317015,0.021775886
0.392066926,0.4729698,-0.45386976,0.509319007,0.504847288,-0.296562284,0.375573814,0.41074875,0.056459092,0.528500974,0.401552111,0.092829429,0.39590171,0.761823773,-0.020820642,0.508215606,0.761399984,0.021924987
0.391043603,0.472097605,-0.45817709,0.510438204,0.506304383,-0.292442352,0.375635982,0.411587596,0.058576517,0.528544307,0.401240855,0.09384913,0.395450652,0.761819303,-0.020684756,0.508207321,0.761533201,0.021767616
